Time (EST)	Latitude	Longitude	Course	kts	mph	Altitude	Rate	Reporting Facility
Sat 05:36:24 PM	33.6699	-117.9461	? 260¡	224.00	258.00	3575.00	-636Ê	ÊFlightAware ADS-BÊ(KEMT)
Sat 05:36:41 PM	33.6695	-117.967	? 290¡	214.00	246.00	3400.00	-662Ê	ÊFlightAware ADS-BÊ(KSNA)
Sat 05:36:58 PM	33.6789	-117.9838	? 311¡	209.00	241.00	3200.00	-615Ê	ÊFlightAware ADS-BÊ(KEMT)
Sat 05:37:20 PM	33.6933	-118.0015	? 316¡	208.00	239.00	3000.00	-779Ê	ÊFlightAware ADS-BÊ(KEMT)
Sat 05:37:50 PM	33.7143	-118.0262	? 315¡	205.00	236.00	2525.00	-947Ê	ÊFlightAware ADS-BÊ(KSNA)
Sat 05:37:58 PM	33.7198	-118.0328	? 315¡	204.00	235.00	2400.00	"-1,125Ê"	ÊSurface and Near-Surface
Sat 05:38:06 PM	33.7244	-118.0385	? 314¡	203.00	234.00	2225.00	"-1,188Ê"	ÊFlightAware ADS-BÊ(KSNA)
Sat 05:38:22 PM	33.7349	-118.0512	? 315¡	194.00	223.00	1925.00	"-1,078Ê"	ÊFlightAware ADS-BÊ(KSNA)
Sat 05:38:38 PM	33.7447	-118.0629	? 315¡	185.00	213.00	1650.00	-984Ê	ÊFlightAware ADS-BÊ(KSNA)
Sat 05:38:54 PM	33.7542	-118.0744	? 315¡	175.00	201.00	1400.00	-984Ê	ÊFlightAware ADS-BÊ(KCRQ)
Sat 05:39:10 PM	33.7628	-118.0849	? 315¡	163.00	188.00	1125.00	-891Ê	ÊFlightAware ADS-BÊ(KFUL)
Sat 05:39:26 PM	33.7716	-118.0954	? 316¡	149.00	171.00	925.00	-750Ê	ÊFlightAware ADS-BÊ(KLGB)
Sat 05:39:42 PM	33.7786	-118.1038	? 314¡	137.00	158.00	725.00	-750Ê	ÊFlightAware ADS-BÊ(KSNA)
Sat 05:39:58 PM	33.7859	-118.1128	? 314¡	134.00	154.00	525.00	-750Ê	ÊFlightAware ADS-BÊ(KLAX)
Sat 05:40:14 PM	33.7926	-118.1209	? 315¡	138.00	159.00	325.00	-797Ê	ÊFlightAware ADS-BÊ(KLGB)
Sat 05:40:30 PM	33.7998	-118.1295	? 314¡	137.00	158.00	100.00	-703Ê	ÊFlightAware ADS-BÊ(KSLI)
Sat 05:40:46 PM	33.8067	-118.138	? 315¡	137.00	158.00		-563Ê	ÊFlightAware ADS-BÊ(KSMO)
