Time (EST)	Latitude	Longitude	Altitude	Course	kts	mph	Rate	Reporting Facility
Fri 08:50:38 PM	33.4171	-111.84	3275.00	? 303¡	183.00	211.00	-732Ê	ÊFlightAware ADS-BÊ(KSDL)
Fri 08:50:56 PM	33.4254	-111.8553	3050.00	? 300¡	177.00	204.00	-568Ê	ÊFlightAware ADS-B
Fri 08:51:15 PM	33.4283	-111.8733	2925.00	? 273¡	171.00	197.00	-413Ê	ÊFlightAware ADS-BÊ(KSDL)
Fri 08:51:36 PM	33.4288	-111.8929	2775.00	? 271¡	172.00	198.00	-647Ê	ÊFlightAware ADS-BÊ(KGEU)
Fri 08:52:06 PM	33.4288	-111.918	2375.00	? 271¡	149.00	171.00	-789Ê	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:52:14 PM	33.4289	-111.9254	2275.00	? 269¡	140.00	161.00	-844Ê	ÊSurface and Near-Surface
Fri 08:52:22 PM	33.4288	-111.9316	2150.00	? 269¡	135.00	155.00	-688Ê	ÊFlightAware ADS-BÊ(KGEU)
Fri 08:52:38 PM	33.4288	-111.9422	2000.00	? 271¡	127.00	146.00	-609Ê	ÊFlightAware ADS-BÊ(KGEU)
Fri 08:52:54 PM	33.4288	-111.9531	1825.00	? 271¡	125.00	144.00	-656Ê	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:53:10 PM	33.4288	-111.9641	1650.00	? 271¡	124.00	143.00	-656Ê	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:53:26 PM	33.4289	-111.9755	1475.00	? 270¡	125.00	144.00	-656Ê	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:53:42 PM	33.4289	-111.9868	1300.00	? 270¡	125.00	144.00	-656Ê	ÊFlightAware ADS-BÊ(KDVT)
Fri 08:53:58 PM	33.4289	-111.9988	1125.00	? 270¡	128.00	147.00	-656Ê	ÊFlightAware ADS-BÊ(KSDL)
